Type,Label,ParentType,LabelParentType
ParkAndGardenTheme,Thème de parc et jardin,Theme,Thème
Parking,Parking,Transport,Transport
PicnicArea,Aire de pique-nique,ConvenientService,Service pratique
Pharmacy,Pharmacie,MedicalPlace,Lieu de santé
Plain,Plaine,NaturalHeritage,Site naturel
Plateau,Plateau,NaturalHeritage,Site naturel
PlaceOfInterest,Lieu,PointOfInterest,Point d'intérêt
PilgrimageAndProcession,Pèlerinage et procession,SocialEvent,Evènement social
PlayArea,Aire de jeux,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Pier,Jetée,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
PigeonLoft,Pigeonnier,TechnicalHeritage,Patrimoine industriel, artisanal, rural, agricole et technique
